Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
86,0,-0.0340575,0.0247475,0.067933,-516.404,509.064,1.19531
87,0,-0.0122182,0.0337489,0.0620831,-516.707,509.433,1.27591
88,0,-0.0436034,0.0229134,0.069083,-516.393,509.022,1.26327
89,0,-0.0236207,0.0322031,0.0636657,-516.63,509.196,1.367
90,0,-0.0329045,0.0252613,0.0682355,-516.399,509.076,1.19505
91,0,-0.0441495,0.0228428,0.0693057,-516.399,509.003,1.25352
92,0,-0.0262064,0.0268568,0.0645677,-516.291,509.371,1.45398
93,0,-0.011951,0.0322656,0.063067,-516.658,509.424,1.26929
94,0,-0.0140256,0.0327931,0.0629782,-516.668,509.415,1.28367
95,0,-0.0341168,0.0242059,0.0685437,-516.361,509.056,1.19439
96,0,-0.00749802,0.0273476,0.0649848,-516.541,509.536,1.40221
97,0,-0.0119839,0.03272,0.0643739,-516.623,509.44,1.29602
98,0,-0.0100969,0.0302563,0.0635557,-516.571,509.451,1.31988
99,0,-0.00948955,0.0297287,0.0640062,-516.577,509.464,1.33779
100,0,-0.0291382,0.0265083,0.0703457,-516.289,509.108,1.25666
101,0,-0.0225747,0.0275688,0.0645592,-516.308,509.396,1.50772
102,0,-0.00357374,0.0392406,0.0557681,-516.599,509.529,1.59529
103,0,-0.00716035,0.0292711,0.0637179,-516.546,509.42,1.42059
104,0,-0.0134412,0.0329426,0.0609815,-516.554,509.271,1.32607
105,0,-0.0140615,0.0321425,0.0605422,-516.525,509.232,1.40672
106,0,-0.0025845,0.0364774,0.0580854,-516.531,509.384,1.28978
107,0,-0.00630348,0.0284941,0.0603208,-516.434,509.301,1.48328
108,0,-0.0114693,0.0334096,0.0595185,-516.514,509.187,1.34073
109,0,-0.00852618,0.0340551,0.0583772,-516.481,509.201,1.35853
110,0,-0.00856124,0.0331021,0.0593154,-516.374,509.239,1.47409
111,0,-0.0112927,0.0310265,0.0646903,-516.405,509.184,1.44335
112,0,-0.00592406,0.0319512,0.0644296,-516.376,509.217,1.41051
113,0,-0.00747294,0.0337201,0.0646493,-516.376,509.225,1.47658
114,0,-0.0121433,0.0278168,0.0663102,-516.376,509.161,1.47717
