Objects
100
,,Global Angle 511DRONE:511DRONE,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
81,0,0.0163109,-0.0921091,3.23903,-67.9903,-4.49952,15.5221
82,0,0.0155072,-0.091299,3.23887,-67.9844,-4.49115,15.5369
83,0,0.012177,-0.0897367,3.23922,-67.9746,-4.48614,15.5288
84,0,0.0162792,-0.092196,3.23923,-67.994,-4.49858,15.5102
85,0,0.0144388,-0.0907974,3.23937,-67.9895,-4.49642,15.551
86,0,0.0178041,-0.0944143,3.24092,-67.9642,-4.48475,15.494
87,0,0.0154607,-0.0896765,3.23905,-67.9948,-4.51345,15.5378
88,0,0.0171501,-0.0940584,3.24104,-67.9751,-4.46488,15.5191
89,0,0.0171872,-0.0930093,3.23906,-67.986,-4.49392,15.508
90,0,0.0169894,-0.0920336,3.23969,-67.9872,-4.4823,15.537
91,0,0.0171133,-0.0922565,3.23891,-67.9895,-4.49588,15.5204
92,0,0.0162814,-0.0918033,3.23893,-67.9869,-4.50086,15.5228
93,0,0.0173698,-0.0923926,3.23923,-67.9828,-4.48389,15.5141
94,0,0.0156141,-0.0930974,3.23879,-67.9755,-4.48373,15.5103
95,0,0.0139994,-0.0899343,3.24042,-67.979,-4.479,15.5551
96,0,0.0176045,-0.0918595,3.23996,-67.9794,-4.48333,15.5305
97,0,0.016242,-0.0905403,3.23967,-68.0016,-4.49683,15.5475
98,0,0.0162288,-0.089486,3.24017,-67.9841,-4.48867,15.5736
99,0,0.0154512,-0.0939331,3.2397,-67.9835,-4.50722,15.5206
100,0,0.0170034,-0.0917902,3.23929,-67.9935,-4.50123,15.5183
101,0,0.0187013,-0.0910331,3.23947,-67.9847,-4.50409,15.5148
102,0,0.0173365,-0.0963244,3.24037,-67.9711,-4.46719,15.5175
103,0,0.0169477,-0.0916316,3.23932,-67.9946,-4.47687,15.5285
104,0,0.0149972,-0.0896338,3.24001,-67.9835,-4.49502,15.564
105,0,0.0178445,-0.0910783,3.23973,-67.9943,-4.49266,15.5268
106,0,0.0169041,-0.0909929,3.23958,-67.9835,-4.49064,15.5396
107,0,0.0185539,-0.0978541,3.24056,-67.9662,-4.46202,15.4877
108,0,0.0133035,-0.0912308,3.23893,-67.9971,-4.50066,15.5249
109,0,0.0158047,-0.0916486,3.23939,-67.9975,-4.50738,15.505
110,0,0.017086,-0.0904524,3.23925,-67.9864,-4.48042,15.5643
111,0,0.0155035,-0.090099,3.23978,-67.9834,-4.48201,15.5699
112,0,0.0146247,-0.0904239,3.23877,-67.9957,-4.50539,15.5476
113,0,0.0149619,-0.0907839,3.23955,-67.9852,-4.49461,15.5231
114,0,0.0207177,-0.0967627,3.23932,-67.9733,-4.48955,15.4902
115,0,0.0193894,-0.0968743,3.23943,-67.972,-4.48292,15.4985
116,0,0.0186624,-0.0901676,3.23925,-67.9937,-4.50788,15.5282
117,0,0.0197012,-0.0955422,3.23904,-67.9777,-4.48326,15.49
118,0,0.0209137,-0.0924777,3.23952,-67.9743,-4.50216,15.5078
119,0,0.0153804,-0.0905223,3.23929,-67.9926,-4.50386,15.5559
120,0,0.0200376,-0.0969561,3.23917,-67.9829,-4.49379,15.4774
121,0,0.0156745,-0.0889125,3.24056,-67.9809,-4.5091,15.5497
122,0,0.0157807,-0.0884571,3.23991,-67.9954,-4.49817,15.5448
123,0,0.0160675,-0.0901976,3.23869,-67.9885,-4.49821,15.5502
